id;tipo;grupo;concepto;valor_base;ano_base;frecuencia;meses;medio;activo;orden
;;;;;;;;;;
INGRESOS;;;;;;;;;;
ing_nomina;ingreso;ingresosFijos;Nómina;2.330 €;2026;mensual;;cuenta;1;1
ing_bonus;ingreso;ingresosBonus;Bonus;1.450 €;2026;anual;1;cuenta;1;1
ing_paga_extra;ingreso;ingresosBonus;Paga Extra;2.538 €;2026;anual;3|6|12;cuenta;1;2
;;;;;;;;;;
;;;;;;;;;;
GASTOS;;;;;;;;;;
gas_limpieza;gasto;gastosFijos;Limpieza;80 €;2026;mensual;;cuenta;1;1
gas_seguro_madrid;gasto;gastosFijos;Seguro Madrid;34 €;2026;mensual;;cuenta;1;2
gas_movil;gasto;gastosFijos;Móvil;14 €;2026;mensual;;cuenta;1;3
gas_luz;gasto;gastosFijos;Luz;50 €;2026;mensual;;cuenta;1;4
gas_agua;gasto;gastosFijos;Agua;35 €;2026;anual;2|4|6|8|10|12;cuenta;1;5
gas_casa_madrid;gasto;gastosFijos;Casa Madrid;1.350 €;2026;mensual;;cuenta;1;6
gas_gym;gasto;gastosFijos;Gym;55 €;2026;mensual;;tarjeta;1;7
gas_padel;gasto;gastosFijos;Pádel;38 €;2026;anual;1|2|3|4|5|6|7|9|10|11|12;cuenta;1;8
gas_cloud_anual;gasto;gastosFijos;Cloud;30 €;2026;anual;5;tarjeta;1;9
gas_cloud_mensual;gasto;gastosFijos;Cloud;1 €;2026;mensual;;tarjeta;1;10
gas_spotify;gasto;gastosFijos;Spotify;42 €;2026;anual;1;cuenta;1;11
gas_youtube;gasto;gastosFijos;YouTube;55 €;2026;anual;8;tarjeta;1;12
gas_tele;gasto;gastosFijos;Tele;20 €;2026;anual;1|4|7|10;cuenta;1;13
gas_loteria;gasto;gastosFijos;Lotería;120 €;2026;anual;11;tarjeta;1;14
gas_seguro_coche;gasto;gastosFijos;Seguro Coche;350 €;2026;anual;8;tarjeta;1;15
gas_revision_coche;gasto;gastosFijos;Revisión Coche;350 €;2026;anual;9;tarjeta;1;16
gas_numerito_coche;gasto;gastosFijos;Numerito Coche;100 €;2026;anual;5;tarjeta;1;17
gas_comida;gasto;gastosFijos;Comida;220 €;2026;mensual;;tarjeta;1;18
gas_salir;gasto;gastosFijos;Salir;220 €;2026;mensual;;tarjeta;1;19
gas_otros;gasto;gastosFijos;Otros;50 €;2026;mensual;;tarjeta;1;20
gas_farmacia;gasto;gastosFijos;Farmacia;25 €;2026;mensual;;tarjeta;1;21
gas_trabajo;gasto;gastosFijos;Trabajo;15 €;2026;mensual;;tarjeta;1;22
gas_gasolina;gasto;gastosFijos;Gasolina;70 €;2026;mensual;;tarjeta;1;23
gas_peluqueria;gasto;gastosFijos;Peluquería;20 €;2026;mensual;;tarjeta;1;24
gas_cumple_ninos;gasto;gastosFijos;Cumple Niños;50 €;2026;anual;2|3|9|11;cuenta;1;25
gas_regalo_navidad_ninos;gasto;gastosFijos;Regalo Navidad Niños;200 €;2026;anual;1;cuenta;1;26
;;;;;;;;;;
;;;;;;;;;;
VACACIONES;;;;;;;;;;
vac_esqui;gasto;gastosVacaciones;Esquí;800 €;2026;anual;2;cuenta;1;1
vac_semana_santa;gasto;gastosVacaciones;Semana Santa;900 €;2026;anual;4;cuenta;1;2
vac_verano_1;gasto;gastosVacaciones;Verano 1;2.000 €;2026;anual;7;cuenta;1;3
vac_verano_2;gasto;gastosVacaciones;Verano 2;1.400 €;2026;anual;9;cuenta;1;4
vac_fin_ano;gasto;gastosVacaciones;Fin Año;400 €;2026;anual;1|12;cuenta;1;5
